Match ID,Season,Competition,Home,Away,Score,Event Type,Team,Player,Roblox ID,Count,Notes
EL1-GW2-03,S1,EuroLeague,Andover,Stafford,10-0,Assist,Andover,rykiraa,104144813,2,
EL1-GW2-03,S1,EuroLeague,Andover,Stafford,10-0,Assist,Andover,booskioo,25796457,1,
EL1-GW2-03,S1,EuroLeague,Andover,Stafford,10-0,MOTM,Andover,rykiraa,104144813,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Goal,Viola,VoidLDN,1041962471,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Goal,Viola,Iuizdias,1204609210,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Goal,Newport,CemFrost,81124023,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Goal,Newport,VxthFrost,40935648,2,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Goal,Newport,SamuuFrost,96811022,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Assist,Viola,surfwitdahoodie,350559676,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Assist,Newport,dorian,,2,⚠️ No Roblox ID
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Assist,Newport,CemFrost,81124023,2,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Yellow Card,Newport,telletti,,1,⚠️ No Roblox ID
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Yellow Card,Newport,tr_ito,594588203,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Yellow Card,Viola,harshflux,1107538966,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,Yellow Card,Viola,b4adumata,94854873,1,
EL1-GW3-01,S1,EuroLeague,Viola,Newport,2-4,MOTM,Newport,VxthFrost,40935648,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Newham,Evaiuated,208862354,2,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Newham,StrictlyHighGrade,104507792,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Newham,Jawad690,,1,⚠️ No Roblox ID
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Eltham,mimiyaa991,1793612765,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Eltham,harmoush,140245581,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Goal,Eltham,jackdinnXDD2,611608100,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,OG,Newham,kuya scout,,1,⚠️ No Roblox ID - OG counted for Eltham
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Assist,Newham,yuchiiha,821613944,2,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Assist,Newham,wiz,,1,⚠️ No Roblox ID
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Assist,Eltham,jackdinnXDD2,611608100,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Assist,Eltham,harmoush,140245581,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Yellow Card,Newham,Jawad690,,1,⚠️ No Roblox ID
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,Yellow Card,Eltham,CapV7,60642460,1,
EL1-GW3-02,S1,EuroLeague,Newham,Eltham,4-4,MOTM,Eltham,CapV7,60642460,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Goal,Viola,VoidLDN,1041962471,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Goal,Viola,borishka,,1,⚠️ No Roblox ID
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Goal,Nottingham,edvzar,229382886,2,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Goal,Nottingham,A_etherius,104835988,6,2x Hat-trick
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Assist,Viola,Iuizdias,1204609210,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Assist,Nottingham,8ackyy,1025293008,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Assist,Nottingham,edvzar,229382886,2,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Assist,Nottingham,lewanvoltski,88422760,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Yellow Card,Viola,Iuizdias,1204609210,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,Yellow Card,Nottingham,lewanvoltski,88422760,1,
EL1-GW2-04,S1,EuroLeague,Viola,Nottingham,2-8,MOTM,Nottingham,A_etherius,104835988,1,Score dispute - poster says 8 goals
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Goal,Nottingham,Oli2Cxrtii,37156558,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Goal,Andover,rykiraa,104144813,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Goal,Andover,booskioo,25796457,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Goal,Andover,ahttuso,596543819,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Assist,Nottingham,A_etherius,104835988,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Assist,Andover,Gokinho_17,75157575,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Assist,Andover,vnpthu,18925142,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,Yellow Card,Andover,ahttuso,596543819,1,
EL1-GW3-03,S1,EuroLeague,Nottingham,Andover,1-3,MOTM,Andover,vnpthu,18925142,1,
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,Goal,Milton,RememberPastGlory,46117833,3,Hat-trick
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,Goal,Milton,saIihamidzic,78717354,3,Hat-trick
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,Goal,Stafford,barbkoumpo,679815091,1,
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,Assist,Milton,We55i10,4487487853,2,
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,Assist,Stafford,deuIofeuz,16898061,1,
EL1-GW3-04,S1,EuroLeague,Milton,Stafford,6-1,MOTM,Milton,We55i10,4487487853,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Goal,Eltham,harmoush,140245581,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Goal,Eltham,mimiyaa991,1793612765,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Goal,Newport,CemFrost,81124023,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Goal,Newport,ken655544,45452764,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Assist,Eltham,mimiyaa991,1793612765,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,Red Card,Newport,rxckfrost,180053970,1,
EL1-GW4-01,S1,EuroLeague,Eltham,Newport,2-2,MOTM,Eltham,harmoush,140245581,1,
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,Goal,Nottingham,edvzar,229382886,2,
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,Goal,Nottingham,A_etherius,104835988,1,
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,Assist,Nottingham,edvzar,229382886,1,
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,Assist,Nottingham,lewanvoltski,88422760,1,
